127.0.0.1, 2016-02-18 17:21:32, GET, /, HTTP/1.1, 303, 0.003012
127.0.0.1, 2016-02-18 17:21:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.318701
127.0.0.1, 2016-02-18 17:21:32, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000503
127.0.0.1, 2016-02-18 17:21:32, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000465
127.0.0.1, 2016-02-18 17:21:32, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000554
127.0.0.1, 2016-02-18 17:21:32, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000552
127.0.0.1, 2016-02-18 17:21:32, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.009088
127.0.0.1, 2016-02-18 17:21:32, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000454
127.0.0.1, 2016-02-18 17:21:32, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000442
127.0.0.1, 2016-02-18 17:21:32, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000499
127.0.0.1, 2016-02-18 17:21:32, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000447
127.0.0.1, 2016-02-18 17:21:32, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000456
127.0.0.1, 2016-02-18 17:21:33, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000457
127.0.0.1, 2016-02-18 17:21:33, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000418
127.0.0.1, 2016-02-18 17:21:33, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000445
127.0.0.1, 2016-02-18 17:21:33, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000479
127.0.0.1, 2016-02-18 17:21:33, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000498
127.0.0.1, 2016-02-18 17:21:33, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000427
127.0.0.1, 2016-02-18 17:21:51, GET, /trade/default/index, HTTP/1.1, 200, 0.060883
127.0.0.1, 2016-02-18 17:21:52, GET, /trade/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000431
127.0.0.1, 2016-02-18 17:21:52, GET, /trade/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000456
127.0.0.1, 2016-02-18 17:21:52, GET, /trade/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000295
127.0.0.1, 2016-02-18 17:21:52, GET, /trade/static/js/jquery.js, HTTP/1.1, 200, 0.000296
127.0.0.1, 2016-02-18 17:21:52, GET, /trade/static/css/calendar.css, HTTP/1.1, 200, 0.000456
127.0.0.1, 2016-02-18 17:21:52, GET, /trade/static/js/calendar.js, HTTP/1.1, 200, 0.000295
127.0.0.1, 2016-02-18 17:21:52, GET, /trade/static/js/web2py.js, HTTP/1.1, 200, 0.000424
127.0.0.1, 2016-02-18 17:21:52, GET, /trade/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000413
127.0.0.1, 2016-02-18 17:21:52, GET, /trade/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000291
127.0.0.1, 2016-02-18 17:21:52, GET, /trade/static/images/background.jpg, HTTP/1.1, 200, 0.000491
127.0.0.1, 2016-02-18 17:21:52, GET, /trade/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000488
127.0.0.1, 2016-02-18 17:21:52, GET, /trade/static/images/favicon.ico, HTTP/1.1, 200, 0.000393
127.0.0.1, 2016-02-18 17:22:28, GET, /trade/default/index, HTTP/1.1, 200, 0.025808
127.0.0.1, 2016-02-18 17:22:28, GET, /trade/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000499
127.0.0.1, 2016-02-18 17:22:28, GET, /trade/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000366
127.0.0.1, 2016-02-18 17:22:28, GET, /trade/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000321
127.0.0.1, 2016-02-18 17:22:28, GET, /trade/static/js/jquery.js, HTTP/1.1, 304, 0.000872
127.0.0.1, 2016-02-18 17:22:28, GET, /trade/static/css/calendar.css, HTTP/1.1, 304, 0.000341
127.0.0.1, 2016-02-18 17:22:28, GET, /trade/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000683
127.0.0.1, 2016-02-18 17:22:28, GET, /trade/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000383
127.0.0.1, 2016-02-18 17:22:28, GET, /trade/static/js/web2py.js, HTTP/1.1, 304, 0.000634
127.0.0.1, 2016-02-18 17:22:28, GET, /trade/static/js/calendar.js, HTTP/1.1, 304, 0.001213
127.0.0.1, 2016-02-18 17:22:28, GET, /trade/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000393
127.0.0.1, 2016-02-18 17:22:28, GET, /trade/static/images/favicon.ico, HTTP/1.1, 200, 0.000490
127.0.0.1, 2016-02-18 17:22:29, GET, /trade/default/index, HTTP/1.1, 200, 0.017763
127.0.0.1, 2016-02-18 17:22:29, GET, /trade/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000403
127.0.0.1, 2016-02-18 17:22:29, GET, /trade/static/js/jquery.js, HTTP/1.1, 304, 0.000366
